,conference,defense,offense,rating,secondOrderWins,sos,specialTeams,team,year
0,SEC,"{'rating': 14.2, 'success': 133.4, 'explosiveness': 98.1, 'rushing': 129.3, 'passing': 113.7, 'standardDowns': 120.9, 'passingDowns': 108.9, 'havoc': {'total': 0.212, 'frontSeven': 0.126, 'db': 0.08700000000000001}}","{'rating': 50.9, 'success': 136.2, 'explosiveness': 117.6, 'rushing': 123.2, 'passing': 132.4, 'standardDowns': 122.9, 'passingDowns': 139.7, 'runRate': 0.46900000000000003, 'pace': 1.2}",36.3,13.8,0.795,{'rating': -0.4},Alabama,2018
1,SEC,"{'rating': 14.2, 'success': 109, 'explosiveness': 122.3, 'rushing': 103.9, 'passing': 123.6, 'standardDowns': 109.5, 'passingDowns': 129.7, 'havoc': {'total': 0.156, 'frontSeven': 0.099, 'db': 0.057}}","{'rating': 45.9, 'success': 122.6, 'explosiveness': 109.6, 'rushing': 116.4, 'passing': 120, 'standardDowns': 114, 'passingDowns': 123.1, 'runRate': 0.557, 'pace': 1.9}",32.9,11.5,0.794,{'rating': 1.3},Georgia,2018
2,ACC,"{'rating': 12.6, 'success': 129.2, 'explosiveness': 119.9, 'rushing': 131.7, 'passing': 121.8, 'standardDowns': 121.7, 'passingDowns': 128.8, 'havoc': {'total': 0.21, 'frontSeven': 0.136, 'db': 0.074}}","{'rating': 43, 'success': 119.6, 'explosiveness': 109.5, 'rushing': 117.9, 'passing': 112.7, 'standardDowns': 112.1, 'passingDowns': 125, 'runRate': 0.45, 'pace': -1.2}",29.7,14.0,0.912,{'rating': -0.6000000000000001},Clemson,2018
3,Big 12,"{'rating': 30, 'success': 95.8, 'explosiveness': 104.3, 'rushing': 103.5, 'passing': 96.4, 'standardDowns': 96.5, 'passingDowns': 101.3, 'havoc': {'total': 0.14400000000000002, 'frontSeven': 0.085, 'db': 0.059000000000000004}}","{'rating': 54, 'success': 130.1, 'explosiveness': 123.3, 'rushing': 125.8, 'passing': 129.7, 'standardDowns': 124.3, 'passingDowns': 128.7, 'runRate': 0.522, 'pace': 0.30000000000000004}",24.9,11.7,0.909,{'rating': 1},Oklahoma,2018
4,SEC,"{'rating': 13.4, 'success': 119.5, 'explosiveness': 112.6, 'rushing': 108.8, 'passing': 123, 'standardDowns': 115.5, 'passingDowns': 117.3, 'havoc': {'total': 0.188, 'frontSeven': 0.097, 'db': 0.091}}","{'rating': 34.8, 'success': 102.6, 'explosiveness': 96.1, 'rushing': 96.9, 'passing': 103.5, 'standardDowns': 102, 'passingDowns': 90.9, 'runRate': 0.555, 'pace': -0.2}",24.2,9.1,0.75,{'rating': 2.7},LSU,2018
5,Big Ten,"{'rating': 21.2, 'success': 108.1, 'explosiveness': 89.4, 'rushing': 100.3, 'passing': 101.5, 'standardDowns': 100, 'passingDowns': 93.4, 'havoc': {'total': 0.184, 'frontSeven': 0.122, 'db': 0.062}}","{'rating': 44.4, 'success': 121.4, 'explosiveness': 102.4, 'rushing': 101.3, 'passing': 120, 'standardDowns': 109.8, 'passingDowns': 120.9, 'runRate': 0.463, 'pace': -1.1}",24.1,10.9,0.899,{'rating': 0.8},Ohio State,2018
6,SEC,"{'rating': 14.1, 'success': 121.8, 'explosiveness': 99.3, 'rushing': 113.9, 'passing': 112.6, 'standardDowns': 110.6, 'passingDowns': 113.1, 'havoc': {'total': 0.179, 'frontSeven': 0.11, 'db': 0.069}}","{'rating': 36.9, 'success': 102.3, 'explosiveness': 102.4, 'rushing': 97.4, 'passing': 106.1, 'standardDowns': 100, 'passingDowns': 109.8, 'runRate': 0.47900000000000004, 'pace': -1.3}",23.6,8.2,0.761,{'rating': 0.7000000000000001},Auburn,2018
7,SEC,"{'rating': 10.5, 'success': 126.4, 'explosiveness': 111.6, 'rushing': 117.2, 'passing': 123, 'standardDowns': 114.5, 'passingDowns': 132.4, 'havoc': {'total': 0.203, 'frontSeven': 0.109, 'db': 0.093}}","{'rating': 34.6, 'success': 111.6, 'explosiveness': 95.8, 'rushing': 119.1, 'passing': 95.3, 'standardDowns': 104.9, 'passingDowns': 101.8, 'runRate': 0.5630000000000001, 'pace': 2.2}",23.2,8.7,0.791,{'rating': -0.9},Mississippi State,2018
8,SEC,"{'rating': 17.4, 'success': 113.2, 'explosiveness': 101.7, 'rushing': 106.6, 'passing': 109, 'standardDowns': 111.2, 'passingDowns': 98.9, 'havoc': {'total': 0.187, 'frontSeven': 0.109, 'db': 0.077}}","{'rating': 38.6, 'success': 111.1, 'explosiveness': 103.3, 'rushing': 110.3, 'passing': 107.2, 'standardDowns': 106.6, 'passingDowns': 106.1, 'runRate': 0.552, 'pace': -0.1}",23.0,9.7,0.8130000000000001,{'rating': 1.7000000000000002},Florida,2018
9,Big Ten,"{'rating': 14.3, 'success': 128.2, 'explosiveness': 94.2, 'rushing': 112.4, 'passing': 110, 'standardDowns': 111, 'passingDowns': 113.6, 'havoc': {'total': 0.186, 'frontSeven': 0.11900000000000001, 'db': 0.067}}","{'rating': 35.5, 'success': 113.7, 'explosiveness': 100.3, 'rushing': 105.8, 'passing': 113.7, 'standardDowns': 109.2, 'passingDowns': 102.2, 'runRate': 0.5700000000000001, 'pace': 3.2}",22.0,10.3,0.867,{'rating': 0.9},Michigan,2018
