,awayScore,awayTeam,homeScore,homeTeam,id,lines
0,35,Notre Dame,17,Louisville,401112436,"[{'provider': 'Bovada', 'spread': 20, 'formattedSpread': 'Notre Dame -20', 'overUnder': 56}, {'provider': 'Caesars', 'spread': 19.5, 'formattedSpread': 'Notre Dame -19.5', 'overUnder': 54.5}, {'provider': 'consensus', 'spread': 19.5, 'formattedSpread': 'Notre Dame -19.5', 'overUnder': 54.5}, {'provider': 'numberfire', 'spread': 19, 'formattedSpread': 'Notre Dame -19', 'overUnder': 55}, {'provider': 'teamrankings', 'spread': 19, 'formattedSpread': 'Notre Dame -19', 'overUnder': 55}]"
1,30,Georgia,6,Vanderbilt,401110732,"[{'provider': 'Bovada', 'spread': 24, 'formattedSpread': 'Georgia -24', 'overUnder': 57}, {'provider': 'Caesars', 'spread': 23, 'formattedSpread': 'Georgia -23', 'overUnder': 56.5}, {'provider': 'consensus', 'spread': 23.5, 'formattedSpread': 'Georgia -23.5', 'overUnder': 56.5}, {'provider': 'numberfire', 'spread': 22, 'formattedSpread': 'Georgia -22', 'overUnder': 58}, {'provider': 'teamrankings', 'spread': 22, 'formattedSpread': 'Georgia -22', 'overUnder': 56.5}]"
2,24,Florida,20,Miami,401110723,"[{'provider': 'teamrankings', 'spread': 7, 'formattedSpread': 'Florida -7', 'overUnder': 46}, {'provider': 'numberfire', 'spread': 7, 'formattedSpread': 'Florida -7', 'overUnder': 46.5}, {'provider': 'consensus', 'spread': 7, 'formattedSpread': 'Florida -7', 'overUnder': 46.5}, {'provider': 'Caesars', 'spread': 7, 'formattedSpread': 'Florida -7', 'overUnder': 46.5}]"
3,20,South Carolina,24,North Carolina,401110729,"[{'provider': 'Bovada', 'spread': 13, 'formattedSpread': 'South Carolina -13', 'overUnder': 62}, {'provider': 'Caesars', 'spread': 12, 'formattedSpread': 'South Carolina -12', 'overUnder': 62}, {'provider': 'consensus', 'spread': 12, 'formattedSpread': 'South Carolina -12', 'overUnder': 62.5}, {'provider': 'numberfire', 'spread': 11, 'formattedSpread': 'South Carolina -11', 'overUnder': 63}, {'provider': 'teamrankings', 'spread': 11, 'formattedSpread': 'South Carolina -11', 'overUnder': 61}]"
4,42,Alabama,3,Duke,401110720,"[{'provider': 'Bovada', 'spread': 35.5, 'formattedSpread': 'Alabama -35.5', 'overUnder': 58}, {'provider': 'Caesars', 'spread': -34.5, 'formattedSpread': 'Duke -34.5', 'overUnder': 57}, {'provider': 'consensus', 'spread': -34.5, 'formattedSpread': 'Duke -34.5', 'overUnder': 57}, {'provider': 'numberfire', 'spread': -32.5, 'formattedSpread': 'Duke -32.5', 'overUnder': 56.5}, {'provider': 'teamrankings', 'spread': -33.5, 'formattedSpread': 'Duke -33.5', 'overUnder': 57.5}]"
5,10,Ole Miss,15,Memphis,401110726,"[{'provider': 'Bovada', 'spread': -3, 'formattedSpread': 'Memphis -3', 'overUnder': 66}, {'provider': 'Caesars', 'spread': -3, 'formattedSpread': 'Memphis -3', 'overUnder': 65}, {'provider': 'consensus', 'spread': -3.5, 'formattedSpread': 'Memphis -3.5', 'overUnder': 65}, {'provider': 'numberfire', 'spread': -5, 'formattedSpread': 'Memphis -5', 'overUnder': 66.5}, {'provider': 'teamrankings', 'spread': -3, 'formattedSpread': 'Memphis -3', 'overUnder': 63.5}]"
6,38,Mississippi State,28,Louisiana,401110727,"[{'provider': 'Bovada', 'spread': 19.5, 'formattedSpread': 'Mississippi State -19.5', 'overUnder': 61}, {'provider': 'Caesars', 'spread': 18.5, 'formattedSpread': 'Mississippi State -18.5', 'overUnder': 60}, {'provider': 'consensus', 'spread': 18.5, 'formattedSpread': 'Mississippi State -18.5', 'overUnder': 60.5}, {'provider': 'numberfire', 'spread': 20, 'formattedSpread': 'Mississippi State -20', 'overUnder': 60}, {'provider': 'teamrankings', 'spread': 19, 'formattedSpread': 'Mississippi State -19', 'overUnder': 61.5}]"
7,14,Miami (OH),38,Iowa,401112191,"[{'provider': 'Bovada', 'spread': -25, 'formattedSpread': 'Iowa -25', 'overUnder': 47}, {'provider': 'Caesars', 'spread': -25, 'formattedSpread': 'Iowa -25', 'overUnder': 47.5}, {'provider': 'consensus', 'spread': -25, 'formattedSpread': 'Iowa -25', 'overUnder': 47.5}, {'provider': 'numberfire', 'spread': -22, 'formattedSpread': 'Iowa -22', 'overUnder': 47}, {'provider': 'teamrankings', 'spread': -25, 'formattedSpread': 'Iowa -25', 'overUnder': 47.5}]"
8,7,Kent State,30,Arizona State,401114153,"[{'provider': 'Bovada', 'spread': -24.5, 'formattedSpread': 'Arizona State -24.5', 'overUnder': 62}, {'provider': 'Caesars', 'spread': -24.5, 'formattedSpread': 'Arizona State -24.5', 'overUnder': 62}, {'provider': 'consensus', 'spread': -24.5, 'formattedSpread': 'Arizona State -24.5', 'overUnder': 61.5}, {'provider': 'numberfire', 'spread': -24.5, 'formattedSpread': 'Arizona State -24.5', 'overUnder': 60.5}, {'provider': 'teamrankings', 'spread': -24.5, 'formattedSpread': 'Arizona State -24.5', 'overUnder': 61.5}]"
9,3,Akron,42,Illinois,401112145,"[{'provider': 'Bovada', 'spread': -18.5, 'formattedSpread': 'Illinois -18.5', 'overUnder': 59}, {'provider': 'Caesars', 'spread': -18, 'formattedSpread': 'Illinois -18', 'overUnder': 60}, {'provider': 'consensus', 'spread': -18, 'formattedSpread': 'Illinois -18', 'overUnder': 60}, {'provider': 'numberfire', 'spread': -18, 'formattedSpread': 'Illinois -18', 'overUnder': 61}, {'provider': 'teamrankings', 'spread': -18, 'formattedSpread': 'Illinois -18', 'overUnder': 60.5}]"
